City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Pombia,IT,45.65,8.63,78.01,73,32,3.36,scattered clouds
257,Port Moresby,PG,-9.44,147.18,84.2,66,40,17.22,haze
258,Marsa Matruh,EG,31.35,27.25,78.8,69,0,8.05,clear sky
259,Ibanda,TZ,-2.8,32.47,66.13,60,99,7.83,overcast clouds
260,Talnakh,RU,69.49,88.4,60.8,63,100,8.95,overcast clouds
261,Concepcion Del Oro,MX,24.63,-101.42,71.73,40,23,10.18,few clouds
262,Sakaiminato,JP,35.55,133.23,80.6,88,75,9.17,light intensity shower rain
263,Riverside,US,33.73,-116.05,102.2,35,1,11.41,clear sky
264,Cruzeiro Do Sul,BR,-29.51,-51.99,48.0,68,0,4.0,clear sky
265,Saint-Augustin,CA,51.23,-58.65,56.12,85,34,4.88,scattered clouds
266,Meadow Lake,US,34.8,-106.54,89.6,14,75,34.45,thunderstorm
267,Ust-Nera,RU,64.57,143.2,45.41,54,100,4.97,overcast clouds
268,Arona,ES,28.1,-16.68,82.0,54,0,23.04,clear sky
269,Hami,CN,42.8,93.45,77.77,22,0,9.86,clear sky
270,Vila Velha,BR,-20.33,-40.29,64.4,88,90,13.87,mist
271,Innisfail,AU,-17.53,146.03,73.81,40,43,10.74,scattered clouds
272,Mangai,CD,-4.05,19.53,74.43,79,100,2.98,overcast clouds
273,San Jose,US,37.34,-121.89,84.2,44,75,11.41,smoke
274,Nome,US,64.5,-165.41,55.4,87,90,11.41,light rain
275,Saldanha,ZA,-33.01,17.94,44.6,87,4,9.95,clear sky
276,Coruripe,BR,-10.13,-36.18,72.7,86,71,5.53,light rain
277,Atambua,ID,-9.11,124.89,83.07,33,22,3.53,few clouds
278,Ostrovnoy,RU,68.05,39.51,56.73,78,97,15.17,overcast clouds
279,Pemangkat,ID,1.17,108.97,77.16,89,100,8.52,overcast clouds
280,Santona,ES,43.44,-3.46,64.0,100,1,4.65,clear sky
281,Canberra,AU,-35.28,149.13,46.99,61,40,17.22,scattered clouds
282,Stykkisholmur,IS,65.08,-22.73,48.02,73,100,1.97,overcast clouds
283,Peterhead,GB,57.51,-1.8,55.99,87,90,13.87,overcast clouds
284,Diamantino,BR,-14.41,-56.45,64.74,53,1,6.2,clear sky
285,Ballina,AU,-28.87,153.57,64.4,27,0,25.28,clear sky
286,Yuanping,CN,38.72,112.76,69.33,77,100,0.36,overcast clouds
287,Mogadishu,SO,2.04,45.34,75.85,82,78,14.74,light rain
288,Smithers,CA,54.78,-127.17,59.0,58,75,6.93,light intensity shower rain
289,Verkhnetulomskiy,RU,68.61,31.8,60.8,82,75,6.71,broken clouds
290,Aswan,EG,24.09,32.91,81.1,32,0,8.41,clear sky
291,Tadine,NC,-21.55,167.88,76.03,85,66,13.71,light rain
292,Moron,AR,-34.65,-58.62,55.99,48,0,1.01,clear sky
293,Nambucca Heads,AU,-30.65,153.0,64.4,27,0,18.34,clear sky
294,Jeremie,HT,18.65,-74.12,82.62,78,9,2.15,clear sky
295,Porto Uniao,BR,-26.24,-51.08,41.11,95,0,1.88,clear sky
296,Cururupu,BR,-1.83,-44.87,74.66,95,1,3.15,clear sky
297,Achit,RU,56.8,57.9,49.69,94,96,4.45,overcast clouds
298,Buala,SB,-8.14,159.59,84.74,73,51,9.71,light rain
299,Phan Thiet,VN,10.93,108.1,82.51,80,100,6.85,overcast clouds
300,Bertoua,CM,4.58,13.68,67.96,96,100,3.8,overcast clouds
301,Virginia Beach,US,36.85,-75.98,81.0,83,75,7.4,broken clouds
302,Lavrentiya,RU,65.58,-171.0,47.12,93,100,6.89,overcast clouds
303,Boueni,YT,-12.9,45.08,73.4,83,75,9.17,heavy intensity drizzle rain
304,Severo-Kurilsk,RU,50.68,156.12,56.01,62,0,13.02,clear sky
305,Korla,CN,41.76,86.15,73.0,72,0,4.0,clear sky
306,Kingman,US,35.19,-114.05,100.99,25,1,11.41,clear sky
307,Eyl,SO,7.98,49.82,76.57,67,83,25.99,broken clouds
308,Gopalpur,IN,19.27,84.92,81.72,83,100,7.36,overcast clouds
309,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,64.4,39,47,20.13,scattered clouds
310,Bria,CF,6.54,21.99,68.52,97,100,2.98,overcast clouds
311,Taltal,CL,-25.4,-70.48,53.13,73,0,3.6,clear sky
312,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,38,95,14.99,overcast clouds
313,Acapulco,MX,16.86,-99.89,84.2,79,75,4.7,broken clouds
314,Colares,PT,38.8,-9.45,66.0,91,0,22.62,clear sky
315,Villa Maria,AR,-32.41,-63.24,46.99,37,0,1.01,clear sky
316,Cayenne,GF,4.93,-52.33,77.0,100,8,6.64,clear sky
317,Roebourne,AU,-20.78,117.13,80.37,20,0,6.2,clear sky
318,Bintulu,MY,3.17,113.03,78.8,88,40,2.26,thunderstorm
319,Kiama,AU,-34.68,150.87,59.0,46,0,28.01,clear sky
320,Warkworth,NZ,-36.4,174.67,61.0,85,83,1.99,broken clouds
321,Iqaluit,CA,63.75,-68.51,41.0,86,40,4.7,scattered clouds
322,Luba,GQ,3.46,8.55,76.8,83,100,9.48,overcast clouds
323,Namtsy,RU,62.72,129.67,53.6,41,0,6.71,smoke
