City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Sorong,ID,2020-08-21 02:37:42,-0.88,131.25,81.93,79,0,6.89
231,Lompoc,US,2020-08-21 02:34:49,34.64,-120.46,64.4,68,90,11.41
232,Broken Hill,AU,2020-08-21 02:37:43,-31.95,141.43,57.2,50,90,24.16
233,Salaga,GH,2020-08-21 02:37:43,8.55,-0.52,72.32,95,100,3.27
234,Tawang,IN,2020-08-21 02:37:43,27.58,91.87,66.47,60,64,3.67
235,Kavieng,PG,2020-08-21 02:37:43,-2.57,150.8,84.18,72,24,8.25
236,Loandjili,CG,2020-08-21 02:37:44,-4.76,11.86,72.14,87,85,5.26
237,Zhigansk,RU,2020-08-21 02:35:29,66.77,123.37,48.76,51,0,17.6
238,Sterling,US,2020-08-21 02:33:17,39.01,-77.43,73.0,73,20,4.7
239,Mount Gambier,AU,2020-08-21 02:32:37,-37.83,140.77,48.2,81,75,20.8
240,Ketchikan,US,2020-08-21 02:35:17,55.34,-131.65,62.6,72,90,28.86
241,Puntarenas,CR,2020-08-21 02:37:45,9.98,-84.84,69.8,100,75,2.24
242,Kandrian,PG,2020-08-21 02:37:45,-6.22,149.55,84.13,67,53,11.77
243,Namibe,AO,2020-08-21 02:35:34,-15.2,12.15,59.0,81,96,2.26
244,Gondar,ET,2020-08-21 02:37:45,12.6,37.47,57.25,85,55,2.1
245,Srednekolymsk,RU,2020-08-21 02:36:36,67.45,153.68,46.04,56,100,10.78
246,Ilebo,CD,2020-08-21 02:37:46,-4.32,20.58,73.33,87,41,1.12
247,Upernavik,GL,2020-08-21 02:35:07,72.79,-56.15,44.85,72,100,2.19
248,Bakal,RU,2020-08-21 02:37:46,54.94,58.81,47.79,99,100,7.29
249,Davila,PH,2020-08-21 02:37:47,18.47,120.58,78.8,88,90,11.41
250,Pucallpa,PE,2020-08-21 02:37:48,-8.38,-74.55,73.53,97,100,2.95
251,Chama,CH,2020-08-21 02:37:48,47.18,8.46,68.0,88,0,3.76
252,Panguipulli,CL,2020-08-21 02:37:48,-39.63,-72.33,44.01,100,4,2.24
253,Joao Pinheiro,BR,2020-08-21 02:37:49,-17.74,-46.17,74.21,41,35,2.28
254,Klaksvik,FO,2020-08-21 02:35:12,62.23,-6.59,57.2,82,71,5.82
255,Vao,NC,2020-08-21 02:34:22,-22.67,167.48,71.49,77,23,10.96
256,Ginda,IN,2020-08-21 02:37:49,30.69,78.49,71.6,100,90,4.7
257,Okhotsk,RU,2020-08-21 02:35:17,59.38,143.3,57.78,56,100,2.44
258,Chuncheng,CN,2020-08-21 02:37:50,22.17,111.79,89.01,76,100,3.6
259,Chernyshevskiy,RU,2020-08-21 02:37:51,63.01,112.47,56.77,50,100,7.2
260,Coahuayana,MX,2020-08-21 02:35:13,18.73,-103.68,78.42,83,100,0.72
